,time,lat,lon,pressure,temperature,salinity,doxy,chla,bbp700
3,2019-05-06 01:51:47.999986,17.567539,68.389618,9.31,29.199083,36.616116,230.82909,0.072,0.00085047865
6,2019-05-06 01:51:47.999986,17.567539,68.389618,13.58,29.154678,36.613644,231.04045,0.0792,0.0008377838
10,2019-05-06 01:51:47.999986,17.567539,68.389618,19.16,29.12753,36.620716,231.61716,0.1008,0.0010282719
14,2019-05-06 01:51:47.999986,17.567539,68.389618,24.61,29.021675,36.6067,234.97348,0.1152,0.0008124054
17,2019-05-06 01:51:47.999986,17.567539,68.389618,29.33,28.56101,36.5791,241.603,0.1368,0.001117313
21,2019-05-06 01:51:47.999986,17.567539,68.389618,34.91,28.150599,36.582325,243.91454,0.1656,0.0008760428
24,2019-05-06 01:51:47.999986,17.567539,68.389618,38.66,27.719929,36.58543,242.87515,0.2088,0.0009268371
28,2019-05-06 01:51:47.999986,17.567539,68.389618,44.45,27.138144,36.544437,236.04578,0.4248,0.0009777471
30,2019-05-06 01:51:47.999986,17.567539,68.389618,47.63,26.979145,36.562344,224.69191,0.5976,0.0010411912
37,2019-05-06 01:51:47.999986,17.567539,68.389618,57.98,26.082129,36.54304,178.95854,0.7272,0.00090148934
43,2019-05-06 01:51:47.999986,17.567539,68.389618,69.83,25.500418,36.49453,163.84583,0.4464,0.00087613356
49,2019-05-06 01:51:47.999986,17.567539,68.389618,78.58,25.309242,36.487602,160.16573,0.3384,0.0007237221
55,2019-05-06 01:51:47.999986,17.567539,68.389618,88.76,25.037819,36.46405,136.59766,0.2736,0.00073642866
61,2019-05-06 01:51:47.999986,17.567539,68.389618,99.85,24.529371,36.39543,112.49179,0.1656,0.0006094921
67,2019-05-06 01:51:47.999986,17.567539,68.389618,108.05,23.693388,36.288975,82.27996,0.0936,0.0004190486
72,2019-05-06 01:51:47.999986,17.567539,68.389618,117.82,22.905989,36.172802,58.02104,0.0648,0.00039368545
79,2019-05-06 01:51:47.999986,17.567539,68.389618,128.88,21.909805,36.11289,48.703686,0.0504,0.00031726982
